,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE
6681,"21 ROMNEY CRESCENT, SHEPPARTON",-36.352713,145.414799,3.0,1.0,1,$245_Week,House,November 2006,3630,2006,11,SHEPPARTON,245,216031416
981,"100 BRANIFFS ROAD, JEERALANG",-38.351072,146.409419,3.0,2.0,2,$290_Week,House,November 2006,3840,2006,11,JEERALANG,290,205041094
983,"25 BRANIFFS ROAD, JEERALANG",-38.344868,146.409023,1.0,1.0,1,$70_Week,Townhouse,November 2006,3840,2006,11,JEERALANG,70,205041094
3040,"305 ELTHAM-YARRA GLEN ROAD, KANGAROO GROUND",-37.68985,145.215905,2.0,1.0,1,$240_Week,none,November 2006,3097,2006,11,GROUND,240,209031214
3806,"2/10 STOCKWELL CRESCENT, KEILOR DOWNS",-37.71340561,144.79414368,3.0,1.0,1,$185_Week,none,November 2006,3038,2006,11,DOWNS,185,213011332
3807,"2/10 STOCKWELL CRESCENT, KEILOR DOWNS",-37.71340561,144.79414368,3.0,1.0,1,$185,none,November 2006,3038,2006,11,DOWNS,185,213011332
4876,"1 AVILA PLACE, KEILOR LODGE",-37.700397,144.806967,4.0,2.0,2,$350_Week,Rental_residential,November 2006,3038,2006,11,LODGE,350,213011340
4877,"1 AVILA PLACE, KEILOR LODGE",-37.700397,144.806967,4.0,2.0,2,$350,Rental_residential,November 2006,3038,2006,11,LODGE,350,213011340
755,"11 EVENGLOW COURT, SMITHS BEACH",-38.498618,145.257989,3.0,2.0,2,$1050_Week,House,November 2006,3922,2006,11,BEACH,1050,208031186
284,"18 OCEAN DRIVE, PORT FAIRY",-38.391483,142.225219,1.0,1.0,0,$1050_Week,House,November 2006,3284,2006,11,FAIRY,1050,217041478
285,"18 OCEAN DRIVE, PORT FAIRY",-38.391483,142.225219,1.0,1.0,0,$2800_Week,House,November 2006,3284,2006,11,FAIRY,2800,217041478
522,"C203/166 ROUSE STREET, PORT MELBOURNE",-37.841211,144.938255,1.0,1.0,1,$400,none,November 2006,3207,2006,11,MELBOURNE,400,206051130
804,"14 SWALLOW STREET, PORT MELBOURNE",-37.83881,144.932766,1.0,1.0,1,$380,House,November 2006,3207,2006,11,MELBOURNE,380,206051130
930,"1.06/91 DOW STREET, PORT MELBOURNE",-37.840548,144.942207,1.0,1.0,1,$320,none,November 2006,3207,2006,11,MELBOURNE,320,206051130
1618,"903/115 BEACH STREET, PORT MELBOURNE",-37.840225,144.930452,2.0,2.0,1,$585,Unit/apmt,December 2006,3207,2006,12,MELBOURNE,585,206051130
1632,"208/65 BEACH STREET, PORT MELBOURNE",-37.84211,144.936383,2.0,2.0,1,$385,Unit/apmt,December 2006,3207,2006,12,MELBOURNE,385,206051130
1685,"D404/52 NOTT STREET, PORT MELBOURNE",-37.84087372,144.9387207,1.0,1.0,1,$400,Unit/apmt,November 2006,3207,2006,11,MELBOURNE,400,206051130
2520,"72 BRIDGE STREET, PORT MELBOURNE",-37.837428,144.945248,2.0,1.0,0,$400,Unit/apmt,December 2006,3207,2006,12,MELBOURNE,400,206051130
2836,"407/55 BAY STREET, PORT MELBOURNE",-37.834478,144.945988,1.0,1.0,0,$350,none,December 2006,3207,2006,12,MELBOURNE,350,206051130
2978,"14 INGLES STREET, PORT MELBOURNE",-37.835369,144.948677,2.0,1.0,0,$360,House,December 2006,3207,2006,12,MELBOURNE,360,206051130
3262,"1/3 LIARDET STREET, PORT MELBOURNE",-37.839268,144.943386,2.0,1.0,1,$445,none,December 2006,3207,2006,12,MELBOURNE,445,206051130
3350,"30 THE ESPLANADE, PORTARLINGTON",-38.112944,144.665582,2.0,1.0,0,$700_Week,House,November 2006,3223,2006,11,PORTARLINGTON,700,203031051
3361,"31 HARDING STREET, PORTARLINGTON",-38.11807,144.651053,3.0,1.0,1,$890_Week,House,November 2006,3223,2006,11,PORTARLINGTON,890,203031051
3378,"43 SIMSON STREET, PORTARLINGTON",-38.117628,144.667214,2.0,1.0,1,$600_Week,House,November 2006,3223,2006,11,PORTARLINGTON,600,203031051
3456,"380 TOWER ROAD, PORTARLINGTON",-38.127301,144.672072,1.0,1.0,2,$1065_Week,Rental_residential,November 2006,3223,2006,11,PORTARLINGTON,1065,203031051
3586,"31 HIGH STREET, PORTARLINGTON",-38.118722,144.649001,3.0,2.0,2,$800_Week,House,November 2006,3223,2006,11,PORTARLINGTON,800,203031051
4681,"155 MUST STREET, PORTLAND",-38.359308,141.596485,3.0,1.0,1,$240,House,October 2006,3305,2006,10,PORTLAND,240,217011422
5271,"73 PERTH STREET, PRAHRAN",-37.846803,144.987715,3.0,1.0,2,$440,none,October 2006,3181,2006,10,PRAHRAN,440,206061136
5737,"14 MOSS STREET, PRAHRAN",-37.848264,144.988335,3.0,1.0,1,$380,Available Now,December 2006,3181,2006,12,PRAHRAN,380,206061136
6302,"2A CHOMLEY STREET, PRAHRAN",-37.858758,145.005508,2.0,2.0,2,$450_Week,House,November 2006,3181,2006,11,PRAHRAN,450,206061136
6522,"102/11 HILLINGDON PLACE, PRAHRAN",-37.8510704,144.9944458,2.0,1.0,1,$345,Available Now,November 2006,3181,2006,11,PRAHRAN,345,206061136
6538,"78 ABERDEEN ROAD, PRAHRAN",-37.85296,145.005846,1.0,1.0,0,$340,Available Now,October 2006,3181,2006,10,PRAHRAN,340,206061136
6888,"20 BIDEY STREET, PRAHRAN",-37.856332,145.004869,3.0,1.0,0,$550,House,December 2006,3181,2006,12,PRAHRAN,550,206061136
7216,"36/108 GREVILLE STREET, PRAHRAN",-37.848784,144.98759,2.0,1.0,1,$1651,Unit/apmt,October 2006,3181,2006,10,PRAHRAN,1651,206061136
7275,"13/22 CHOMLEY STREET, PRAHRAN",-37.857929,145.005535,1.0,1.0,1,$250,Unit/apmt,December 2006,3181,2006,12,PRAHRAN,250,206061136
7652,"13 BOWEN STREET, PRAHRAN",-37.854916,145.003736,2.0,1.0,0,$400,none,November 2006,3181,2006,11,PRAHRAN,400,206061136
7978,"37 LEWISHAM ROAD, PRAHRAN",-37.855252,144.999113,3.0,2.0,0,$375,Available Now,November 2006,3181,2006,11,PRAHRAN,375,206061136
8822,"6/608 BELL STREET, PRESTON",-37.74353027,144.98997498,2.0,1.0,1,$180,none,October 2006,3072,2006,10,PRESTON,180,209021429
10521,"2/5 COOMA STREET, PRESTON",-37.741697,145.006128,1.0,1.0,1,$145,Unit/apmt,December 2006,3072,2006,12,PRESTON,145,209021428
10953,"18/11-13 COOMA STREET, PRESTON",-37.74135208,145.006073,1.0,1.0,0,$135,House,November 2006,3072,2006,11,PRESTON,135,209021428
820,"2/3 LOWER PLENTY ROAD, ROSANNA",-37.746395,145.05888,2.0,1.0,1,$240_Week,Unit/apmt,November 2006,3084,2006,11,ROSANNA,240,209011198
4673,"73 RAVENHILL BOULEVARD, ROXBURGH PARK",-37.634417,144.917974,3.0,2.0,2,$260_Week,none,November 2006,3064,2006,11,PARK,260,210051544
4674,"73 RAVENHILL BOULEVARD, ROXBURGH PARK",-37.634417,144.917974,3.0,2.0,2,$250_Week,none,November 2006,3064,2006,11,PARK,250,210051544
4675,"73 RAVENHILL BOULEVARD, ROXBURGH PARK",-37.634417,144.917974,3.0,2.0,2,$260,none,November 2006,3064,2006,11,PARK,260,210051544
5144,"6 SIMMONDS PLACE, ROXBURGH PARK",-37.63389,144.927545,3.0,2.0,2,$230_Week,Townhouse,November 2006,3064,2006,11,PARK,230,210051544
5270,"14/67 RAVENHILL BOULEVARD, ROXBURGH PARK",-37.63508224,144.91812134,2.0,2.0,1,$210,Unit/apmt,November 2006,3064,2006,11,PARK,210,210051544
7392,"29/291 YORK STREET, SALE",-38.102174,147.067711,2.0,1.0,1,$125,Unit/apmt,October 2006,3850,2006,10,SALE,125,205051103
258,"10/414 GLENFERRIE ROAD, KOOYONG",-37.84173203,145.03210449,3.0,1.0,1,$280,Unit/apmt,October 2006,3144,2006,10,KOOYONG,280,208041194
3794,"2/156 CASEY DRIVE, LALOR",-37.67469788,145.03916931,3.0,1.0,1,$205,Unit/apmt,November 2006,3075,2006,11,LALOR,205,209041529
3808,"3 HOTHAM COURT, LALOR",-37.667364,144.998162,3.0,1.0,4,$200,none,December 2006,3075,2006,12,LALOR,200,209041530
3882,"6 PRINCE ANDREW AVENUE, LALOR",-37.668812,145.023088,3.0,1.0,1,$205,Available Now,December 2006,3075,2006,12,LALOR,205,209041529
626,"307/84 ALTONA STREET, KENSINGTON",-37.797329,144.925945,2.0,1.0,1,$280,Unit/apmt,November 2006,3031,2006,11,KENSINGTON,280,206041121
642,"6/46 BAYSWATER ROAD, KENSINGTON",-37.79333878,144.9236145,2.0,1.0,1,$225,Rental_residential,November 2006,3031,2006,11,KENSINGTON,225,206041121
735,"411/60 SPEAKMEN STREET, KENSINGTON",-37.794335,144.91696,2.0,1.0,1,$255,Unit/apmt,December 2006,3031,2006,12,KENSINGTON,255,206041121
736,"411/60 SPEAKMEN STREET, KENSINGTON",-37.794335,144.91696,2.0,1.0,1,$255_Week,Unit/apmt,November 2006,3031,2006,11,KENSINGTON,255,206041121
746,"40 FRANCIS LANE, KENSINGTON",-37.793713,144.918367,3.0,2.0,1,$355,Rental_residential,December 2006,3031,2006,12,KENSINGTON,355,206041121
864,"20 CRICHTON LANE, KENSINGTON",-37.792576,144.922112,1.0,1.0,1,$220_Week,Townhouse,November 2006,3031,2006,11,KENSINGTON,220,206031115
1062,"22 LITTLE BENDALL STREET, KENSINGTON",-37.789017,144.92346,2.0,1.0,1,$240,Townhouse,October 2006,3031,2006,10,KENSINGTON,240,206041121
1192,"16 MCCONNELL STREET, KENSINGTON",-37.79027,144.928395,3.0,2.0,0,$270,none,October 2006,3031,2006,10,KENSINGTON,270,206041121
1223,"5 EASTWOOD STREET, KENSINGTON",-37.788745,144.929811,2.0,1.0,0,$275,House,November 2006,3031,2006,11,KENSINGTON,275,206041121
2046,"58 MARKET STREET, KENSINGTON",-37.790529,144.925817,3.0,1.0,1,$330,Townhouse,October 2006,3031,2006,10,KENSINGTON,330,206041121
2295,"6A CALWELL STREET, KENSINGTON",-37.788257,144.926914,2.0,1.0,1,$255,none,December 2006,3031,2006,12,KENSINGTON,255,206041121
2386,"56 THE RIDGEWAY, KENSINGTON",-37.794773,144.924578,2.0,1.0,0,$330,none,November 2006,3031,2006,11,KENSINGTON,330,206041121
3365,"15 HARP ROAD, KEW EAST",-37.800013,145.056797,3.0,1.0,3,$280,none,December 2006,3102,2006,12,EAST,280,207011154
3612,"3/51 STUDLEY PARK ROAD, KEW",-37.80686188,145.02197266,2.0,1.0,1,$280,none,November 2006,3101,2006,11,KEW,280,207011522
3620,"2/45 DISRAELI STREET, KEW",-37.80154037,145.03918457,2.0,1.0,1,$260,none,December 2006,3101,2006,12,KEW,260,207011522
3825,"131 WELLINGTON STREET, KEW",-37.810512,145.043006,2.0,1.0,0,$300,House,December 2006,3101,2006,12,KEW,300,207011521
3947,"7/60 PRINCESS STREET, KEW",-37.80411148,145.02958679,2.0,1.0,1,$250,Unit/apmt,November 2006,3101,2006,11,KEW,250,207011522
4157,"12/103 BARKERS ROAD, KEW",-37.8132515,145.02592468,2.0,1.0,2,$280,Rental_residential,November 2006,3101,2006,11,KEW,280,207011521
4260,"4/30 GLADSTONE STREET, KEW",-37.801807,145.040814,2.0,1.0,1,$249,Unit/apmt,December 2006,3101,2006,12,KEW,249,207011522
4261,"4/30 GLADSTONE STREET, KEW",-37.801807,145.040814,2.0,1.0,1,$249,Unit/apmt,November 2006,3101,2006,11,KEW,249,207011522
4379,"2 SACKVILLE STREET, KEW",-37.812601,145.04643,3.0,2.0,1,$450,House,November 2006,3101,2006,11,KEW,450,207011521
4734,"2/66 COBDEN STREET, KEW",-37.801408,145.036336,2.0,1.0,1,$180_-_$210,none,December 2006,3101,2006,12,KEW,210,207011522
5095,"7/14 FOLEY STREET, KEW",-37.812876,145.027073,2.0,1.0,1,$320,none,December 2006,3101,2006,12,KEW,320,207011521
5224,"78 EDGEVALE ROAD, KEW",-37.812676,145.042838,3.0,1.0,1,$450,House,November 2006,3101,2006,11,KEW,450,207011521
5553,"30/20 PAKINGTON STREET, KEW",-37.80403137,145.03468323,2.0,1.0,1,$245,Unit/apmt,October 2006,3101,2006,10,KEW,245,207011522
5563,"34 BARNARD GROVE, KEW",-37.792261,145.035598,3.0,1.0,1,$410,House,November 2006,3101,2006,11,KEW,410,207011522
5686,"3/58 HARP ROAD, KEW",-37.7999115,145.05410767,2.0,1.0,1,$240,none,December 2006,3101,2006,12,KEW,240,207011521
5711,"6/11 DEAN STREET, KEW",-37.81559753,145.0581665,2.0,1.0,1,$295,none,December 2006,3101,2006,12,KEW,295,207011521
7847,"12 COTTAGE CRESCENT, KILMORE",-37.294684,144.942878,3.0,2.0,2,$235_Week,House,November 2006,3764,2006,11,KILMORE,235,204011056
8183,"43 LIVERPOOL ROAD, KILSYTH",-37.806476,145.315478,2.0,2.0,1,$180_Week,House,November 2006,3137,2006,11,KILSYTH,180,211051277
8187,"83 HAWTHORY ROAD, KILSYTH",-37.79499,145.313695,3.0,1.0,2,$240_Week,House,November 2006,3137,2006,11,KILSYTH,240,211051281
10159,"142 QUEENSVILLE STREET, KINGSVILLE",-37.810466,144.882826,3.0,1.0,1,$240,House,October 2006,3012,2006,10,KINGSVILLE,240,213031350
10443,"4 BELINDAVALE DRIVE, KNOXFIELD",-37.882318,145.241397,4.0,2.0,4,$370,House,December 2006,3180,2006,12,KNOXFIELD,370,211011254
376,"11/22-28 CANTERBURY STREET, FLEMINGTON",-37.78156662,144.92601013,1.0,1.0,1,$110_Week,Unit/apmt,November 2006,3031,2006,11,FLEMINGTON,110,206031115
377,"11/22-28 CANTERBURY STREET, FLEMINGTON",-37.78156662,144.92601013,1.0,1.0,1,$110,Unit/apmt,October 2006,3031,2006,10,FLEMINGTON,110,206031115
806,"7/15 DOVER STREET, FLEMINGTON",-37.78341675,144.92701721,1.0,1.0,1,$160,Rental_residential,October 2006,3031,2006,10,FLEMINGTON,160,206031115
828,"10 GLANCE STREET, FLEMINGTON",-37.787063,144.92487,2.0,1.0,0,$260,Rental_residential,November 2006,3031,2006,11,FLEMINGTON,260,206031115
864,"8/13-15 DOVER STREET, FLEMINGTON",-37.78328,144.92737,1.0,1.0,1,$165_Week,House,November 2006,3031,2006,11,FLEMINGTON,165,206031115
1187,"19/48 FARNHAM STREET, FLEMINGTON",-37.78254318,144.93074036,1.0,1.0,1,$175,none,October 2006,3031,2006,10,FLEMINGTON,175,206031115
2400,"3/10 DRECHSLER STREET, FLORA HILL",-36.77913284,144.29029846,1.0,1.0,1,$105,Rental_residential,November 2006,3550,2006,11,HILL,105,202011021
2556,"53 LONG GULLY ROAD, FLOWERDALE",-37.342474,145.298467,1.0,1.0,1,$125_Week,House,November 2006,3658,2006,11,FLOWERDALE,125,204011062
3915,"12/19 EMPIRE STREET, FOOTSCRAY",-37.78915,144.891317,2.0,1.0,1,$170,Unit/apmt,November 2006,3011,2006,11,FOOTSCRAY,170,213031348
4780,"2/103 HUSBAND ROAD, FOREST HILL",-37.839582,145.182596,2.0,1.0,1,$180,Rental_residential,December 2006,3131,2006,12,HILL,180,211041269
7997,"58 STANLEY STREET, FRANKSTON",-38.138677,145.133275,3.0,1.0,1,$240,House,November 2006,3199,2006,11,FRANKSTON,240,214011371
7998,"58 STANLEY STREET, FRANKSTON",-38.138677,145.133275,3.0,1.0,1,$240,House,October 2006,3199,2006,10,FRANKSTON,240,214011371
8468,"4/2 MEREWEATHER AVENUE, FRANKSTON",-38.1348381,145.12516785,2.0,1.0,1,$175,Unit/apmt,December 2006,3199,2006,12,FRANKSTON,175,214011371
8583,"9 MALCOLM COURT, FRANKSTON",-38.142879,145.144807,3.0,1.0,2,$200,House,December 2006,3199,2006,12,FRANKSTON,200,214011372
8584,"9 MALCOLM COURT, FRANKSTON",-38.142879,145.144807,3.0,1.0,2,$205,House,December 2006,3199,2006,12,FRANKSTON,205,214011372
10666,"4 MEREWEATHER AVENUE, FRANKSTON",-38.1351,145.125597,4.0,1.0,1,$250,House,December 2006,3199,2006,12,FRANKSTON,250,214011371
11088,"7/34 WILLIAMS STREET, FRANKSTON",-38.151339,145.120581,2.0,1.0,1,$135,none,November 2006,3199,2006,11,FRANKSTON,135,214011371
11341,"122 BEACH STREET, GARDEN CITY",-37.839842,144.929687,3.0,2.0,2,$975,House,November 2006,3207,2006,11,CITY,975,206051130
12964,"6/61 BROUGHAM STREET, GEELONG",-38.1454277,144.36256409,1.0,1.0,1,$265,Rental_residential,November 2006,3220,2006,11,GEELONG,265,203021039
977,"4/51 SPRING STREET, THOMASTOWN",-37.68592453,145.00747681,2.0,1.0,1,$185,House,November 2006,3074,2006,11,THOMASTOWN,185,209041223
1716,"47 FENWICK STREET, THORNBURY",-37.76204,145.004852,2.0,1.0,1,$300,Available Now,December 2006,3071,2006,12,THORNBURY,300,206021112
2112,"6/73 COLLINS STREET, THORNBURY",-37.75528336,145.0098114,2.0,1.0,1,$230,none,December 2006,3071,2006,12,THORNBURY,230,206021112
2113,"6/73 COLLINS STREET, THORNBURY",-37.75528336,145.0098114,2.0,1.0,1,$230,none,November 2006,3071,2006,11,THORNBURY,230,206021112
2364,"7/104 GOOCH STREET, THORNBURY",-37.75884247,145.00759888,1.0,1.0,1,$145,Unit/apmt,October 2006,3071,2006,10,THORNBURY,145,206021112
2821,"99 GOOCH STREET, THORNBURY",-37.758498,145.006945,4.0,1.0,2,$390_Week,House,November 2006,3071,2006,11,THORNBURY,390,206021112
3346,"38 HAMMOND STREET, THORNBURY",-37.763845,145.012988,3.0,1.0,5,$290,none,December 2006,3071,2006,12,THORNBURY,290,206021112
3580,"5/77 COLLINS STREET, THORNBURY",-37.75528717,145.01029968,2.0,1.0,1,$220,none,November 2006,3071,2006,11,THORNBURY,220,206021112
3962,"8/65 MARTIN STREET, THORNBURY",-37.76125336,145.00521851,2.0,1.0,1,$170,Rental_residential,October 2006,3071,2006,10,THORNBURY,170,206021112
4271,"1/109 NORMANBY AVENUE, THORNBURY",-37.7588501,144.99008179,3.0,1.0,1,$245,none,October 2006,3071,2006,10,THORNBURY,245,206021112
4669,"14 RAILWAY ROAD, THORPDALE",-38.287206,146.17799,3.0,1.0,1,$160_Week,none,November 2006,3835,2006,11,THORPDALE,160,205011078
5062,"1/3 DAVIS COURT, TONGALA",-36.246092,144.953247,2.0,1.0,1,$606,Unit,November 2006,3621,2006,11,TONGALA,606,216011407
5840,"24/746 ORRONG ROAD, TOORAK",-37.83813095,145.01443481,2.0,1.0,1,$320,none,December 2006,3142,2006,12,TOORAK,320,206061138
6049,"2/2A BURNIE STREET, TOORAK",-37.835808,145.007826,1.0,1.0,1,$195,Rental_residential,December 2006,3142,2006,12,TOORAK,195,206061138
6058,"2/693 MALVERN ROAD, TOORAK",-37.84885406,145.01031494,2.0,1.0,1,$290,Available Now,October 2006,3142,2006,10,TOORAK,290,206061138
6537,"4/10 DEVORGILLA AVENUE, TOORAK",-37.849525,145.020704,1.0,1.0,1,$180,none,December 2006,3142,2006,12,TOORAK,180,206061138
6685,"15/8 LAMBERT ROAD, TOORAK",-37.8473,145.010407,2.0,1.0,0,$175,Unit/apmt,December 2006,3142,2006,12,TOORAK,175,206061138
7122,"8/6 LAMBERT ROAD, TOORAK",-37.84710693,145.01025391,2.0,1.0,1,$275,Unit/apmt,October 2006,3142,2006,10,TOORAK,275,206061138
7185,"12/2A BURNIE STREET, TOORAK",-37.83592,145.00942,1.0,1.0,1,$220_Week,Unit/apmt,November 2006,3142,2006,11,TOORAK,220,206061138
7541,"13 / 76 MATHOURA ROAD, TOORAK",-37.84276962,145.00810242,1.0,1.0,1,$260,none,November 2006,3142,2006,11,TOORAK,260,206061138
7957,"2/145 CANTERBURY ROAD, TOORAK",-37.84206009,145.01042175,1.0,1.0,0,$195,Rental_residential,October 2006,3142,2006,10,TOORAK,195,206061138
1023,"2/4-6 WILLIAM STREET, CRANBOURNE",-38.10353851,145.27857971,3.0,1.0,1,$200,House,November 2006,3977,2006,11,CRANBOURNE,200,212031300
1101,"8 ARNOLD STREET, CRANBOURNE",-38.10417,145.290638,3.0,1.0,2,$175_Week,House,October 2006,3977,2006,10,CRANBOURNE,175,212031300
3644,"4/39 FORTUNA AVENUE, CROYDON",-37.80651855,145.27563477,2.0,1.0,1,$250,Rental_residential,November 2006,3136,2006,11,CROYDON,250,211031450
437,"32 BEACONSFIELD PARADE, GLENROWAN",-36.460599,146.222163,3.0,2.0,2,$200_Week,House,November 2006,3675,2006,11,GLENROWAN,200,204021067
501,"3/53 MAUDE AVENUE, GLENROY",-37.70175552,144.93560791,2.0,1.0,2,$230_Week,none,November 2006,3046,2006,11,GLENROY,230,210031535
502,"3/53 MAUDE AVENUE, GLENROY",-37.70175552,144.93560791,2.0,1.0,2,$230,none,November 2006,3046,2006,11,GLENROY,230,210031535
2083,"21 TARANA AVENUE, GLENROY",-37.7119,144.908324,3.0,1.0,1,$195,Unit/apmt,November 2006,3046,2006,11,GLENROY,195,210031536
2097,"5/167 GLENROY ROAD, GLENROY",-37.705522,144.920696,2.0,1.0,1,$195_Week,Unit/apmt,November 2006,3046,2006,11,GLENROY,195,210031535
1118,"1/22 CHATSWORTH AVENUE, ARDEER",-37.7740593,144.80172729,2.0,1.0,2,$195_Week,none,November 2006,3022,2006,11,ARDEER,195,213011328
1119,"1/22 CHATSWORTH AVENUE, ARDEER",-37.7740593,144.80172729,2.0,1.0,2,$195,none,November 2006,3022,2006,11,ARDEER,195,213011328
2325,"20 HAMPDEN ROAD, ARMADALE",-37.856151,145.01333,4.0,2.0,3,$1000,House,December 2006,3143,2006,12,ARMADALE,1000,206061135
2612,"5/1 DUNCRAIG AVENUE, ARMADALE",-37.8616066,145.02537537,2.0,1.0,1,$265,Unit/apmt,November 2006,3143,2006,11,ARMADALE,265,206061135
2817,"3/531 ORRONG ROAD, ARMADALE",-37.85705566,145.01087952,2.0,1.0,1,$380,none,December 2006,3143,2006,12,ARMADALE,380,206061136
3010,"6/48 SUTHERLAND ROAD, ARMADALE",-37.85811615,145.01725769,1.0,1.0,1,$220,Rental_residential,December 2006,3143,2006,12,ARMADALE,220,206061135
3286,"3/18 ST GEORGES ROAD, ARMADALE",-37.860549,145.021161,1.0,1.0,1,$190,Rental_residential,November 2006,3143,2006,11,ARMADALE,190,206061135
3424,"4/532 ORRONG ROAD, ARMADALE",-37.85732269,145.01123047,2.0,1.0,1,$360,none,October 2006,3143,2006,10,ARMADALE,360,206061135
3527,"1/403 DANDENONG ROAD, ARMADALE",-37.86183929,145.01831055,2.0,1.0,1,$250,Rental_residential,November 2006,3143,2006,11,ARMADALE,250,206061135
5770,"51 THE PARADE, ASCOT VALE",-37.772748,144.913887,4.0,1.0,0,$340_Week,House,November 2006,3032,2006,11,VALE,340,206031113
5771,"51 THE PARADE, ASCOT VALE",-37.772748,144.913887,4.0,1.0,0,$340,House,November 2006,3032,2006,11,VALE,340,206031113
6057,"12/209 MARIBYRNONG ROAD, ASCOT VALE",-37.77125168,144.91023254,2.0,1.0,1,$210,Unit/apmt,November 2006,3032,2006,11,VALE,210,206031113
6648,"10/32 FISHER PARADE, ASCOT VALE",-37.784577,144.905481,3.0,2.0,1,$330,Townhouse,November 2006,3032,2006,11,VALE,330,206031113
6649,"10/32 FISHER PARADE, ASCOT VALE",-37.784577,144.905481,3.0,2.0,1,$330_Week,Townhouse,November 2006,3032,2006,11,VALE,330,206031113
6694,"11/24 ORMOND ROAD, ASCOT VALE",-37.77300262,144.92996216,1.0,1.0,1,$180_Week,none,November 2006,3032,2006,11,VALE,180,206031113
8056,"12 LIBERATOR STREET, ASHBURTON",-37.866175,145.090293,3.0,1.0,1,$270,House,December 2006,3147,2006,12,ASHBURTON,270,207011146
8840,"1/33 GEORGE STREET, ASHWOOD",-37.86299896,145.09721375,3.0,2.0,2,$420,House,November 2006,3147,2006,11,ASHWOOD,420,212051319
9257,"4/17 TEMPLE STREET, ASHWOOD",-37.86992264,145.09465027,2.0,1.0,1,$250,Unit/apmt,November 2006,3147,2006,11,ASHWOOD,250,212051319
9738,"7/34 NEPEAN HIGHWAY, ASPENDALE",-38.011105,145.089387,2.0,1.0,1,$715,none,November 2006,3195,2006,11,ASPENDALE,715,208031189
10060,"9 PARKVIEW DRIVE, ASPENDALE",-38.0215,145.101561,4.0,2.0,2,$350,none,November 2006,3195,2006,11,ASPENDALE,350,208031189
672,"7/28 BROADWAY, BONBEACH",-38.05923462,145.12280273,2.0,1.0,1,$160,Unit/apmt,November 2006,3196,2006,11,BONBEACH,160,208031186
755,"68 BROADWAY, BONBEACH",-38.057652,145.127529,2.0,1.0,2,$305,House,December 2006,3196,2006,12,BONBEACH,305,208031186
2057,"64A TULIP CRESCENT, BORONIA",-37.868298,145.284281,1.0,1.0,0,$90_Week,none,November 2006,3155,2006,11,BORONIA,90,211011446
4358,"9/13 OXFORD STREET, BOX HILL",-37.8219223,145.1212616,3.0,3.0,2,$360,Unit/apmt,November 2006,3128,2006,11,HILL,360,207031163
5034,"17/53 BISHOP STREET, BOX HILL",-37.820393,145.133997,2.0,1.0,1,$190,Unit/apmt,December 2006,3128,2006,12,HILL,190,207031163
5110,"14/23-33 CAMBRIDGE STREET, BOX HILL",-37.82081223,145.1207428,2.0,1.0,1,$310,Townhouse,November 2006,3128,2006,11,HILL,310,207031163
6095,"10/23-33 CAMBRIDGE STREET, BOX HILL",-37.82081223,145.1207428,3.0,3.0,2,$365,Townhouse,November 2006,3128,2006,11,HILL,365,207031163
6147,"9/36 ROSE STREET, BOX HILL",-37.82184982,145.12918091,2.0,1.0,1,$220,Available Now,December 2006,3128,2006,12,HILL,220,207031163
939,"1/114 BURKE STREET, YARRAGON SOUTH",-38.2418774,146.0758885,2.0,1.0,1,$160_Week,House,November 2006,3823,2006,11,SOUTH,160,205011078
940,"9 BORONIA STREET, YARRAGON SOUTH",-38.2418774,146.0758885,3.0,1.0,2,$210_Week,House,November 2006,3823,2006,11,SOUTH,210,205011078
1367,"524 YAN YEAN ROAD, YARRAMBAT",-37.643996,145.131632,3.0,1.0,2,$340_Week,none,November 2006,3091,2006,11,YARRAMBAT,340,209031213
1562,"32 OVENS STREET, YARRAVILLE",-37.81815,144.891695,2.0,1.0,0,$280,Rental_residential,December 2006,3013,2006,12,YARRAVILLE,280,213031352
1563,"32 OVENS STREET, YARRAVILLE",-37.81815,144.891695,2.0,1.0,0,$280_Week,Rental_residential,November 2006,3013,2006,11,YARRAVILLE,280,213031352
1984,"32 SANDERSON STREET, YARRAVILLE",-37.814545,144.867159,3.0,1.0,2,$215,Rental_residential,December 2006,3013,2006,12,YARRAVILLE,215,213031352
3368,"2/78 ANDERSON STREET, YARRAVILLE",-37.81611252,144.88722229,1.0,1.0,1,$170,Rental_residential,October 2006,3013,2006,10,YARRAVILLE,170,213031352
3588,"4 FORREST STREET, YARRAVILLE",-37.813741,144.885005,3.0,1.0,0,$310,none,November 2006,3013,2006,11,YARRAVILLE,310,213031352
4422,"530 JUMBUK ROAD, YINNAR SOUTH",-38.34909566,146.37310528,3.0,2.0,4,$280_Week,House,November 2006,3869,2006,11,SOUTH,280,205041094
4423,"1135 WHITELAWS TRACK, YINNAR SOUTH",-38.3759626,146.3429133,3.0,1.0,1,$200_Week,House,November 2006,3869,2006,11,SOUTH,200,205041094
4509,"2 / 4 GEORGE STREET, YINNAR",-38.330291,146.32664,2.0,1.0,2,$95_Week,none,November 2006,3869,2006,11,YINNAR,95,205041094
